codigo,articulo,uxb,precio caja,precio unitario,cantidad_normalizada,unidad_estandar,precio_estandar
2,OLIOVITA CLASICO PET 250ML,12,68150.498,5679.208,0.25,LT,22716.832
3,OLIOVITA CLASICO BT 250ML,12,75841.11,6320.092,0.25,LT,25280.368
4,OLIOVITA CLASICO PET 500ML,12,112851.741,9404.312,0.5,LT,18808.624
5,OLIOVITA MEDITERRANEO PET 500ML,12,112851.741,9404.312,0.5,LT,18808.624
6,OLIOVITA CLASICO BT 500ML,12,133699.48,11141.623,0.5,LT,22283.246
8,OLIOVITA CLASICO BT 1LTS,6,119313.31,19885.552,,,
9,OLIOVITA CLASICO (BIDON) 5LTS,2,206475.984,103237.992,,,
10,OLIOVITA VARIETAL ARBEQUINA BT 500ML,12,147487.544,12290.629,0.5,LT,24581.258
11,OLIOVITA ORGANICO BT 250ML,12,125841.051,10486.754,0.25,LT,41947.016
13,CASALTA CLASICO BT 400ML,12,53606.762,4467.23,0.4,LT,11168.074999999999
14,CASALTA REDUCCION BT 400ML,12,70459.632,5871.636,0.4,LT,14679.09
15,CASALTA AHUMADO BT 400ML,12,48246.086,4020.507,0.4,LT,10051.2675
21,CASALTA GLAZE ORIGINAL PET 250ML,12,38793.1,3232.758,0.25,LT,12931.032
26,CASALTA ALCOHOL PET 500ML,12,9499.368,791.614,0.5,LT,1583.228
27,CASALTA VINO PET 1LTS,12,23593.843,1966.154,,,
28,CASALTA VINO PET 500ML,12,15126.54,1260.545,0.5,LT,2521.09
29,CASALTA MANZANA PET 1LTS,12,30491.971,2540.998,,,
30,CASALTA MANZANA PET 500ML,12,18942.525,1578.544,0.5,LT,3157.088
71,BACARDI BLANCO 1LTS,12,272254.669,22687.889,,,
72,BACARDI ORO 1LTS,12,272254.669,22687.889,,,
73,GREY GOOSE 750ML,6,672803.193,112133.866,0.75,LT,149511.82133333333
74,BOMBAY 750ML,12,469463.408,39121.951,0.75,LT,52162.60133333333
80,GANCIA AMERICANO 950ML,12,83693.749,6974.479,0.95,LT,7341.556842105264
84,FERNET 1882 750ML,6,54243.406,9040.568,0.75,LT,12054.090666666665
93,PRINCIPE DE LOS APOSTOLES 750ML,6,88337.141,14722.857,0.75,LT,19630.476
94,CASALTA GLAZE MOSTAZA PET 250ML,12,38239.985,3186.665,0.25,LT,12746.66
99,GUINDADO VICENTE PORTA 750ML,6,79440.591,13240.099,0.75,LT,17653.465333333334
102,JACK DANIELS TW 700ML,12,446271.357,37189.28,0.7,LT,53127.54285714286
104,JAGERMEISTER 700ML,6,216773.618,36128.936,0.7,LT,51612.76571428572
105,JACK DANIELS HONEY 750ML,12,446271.357,37189.28,0.75,LT,49585.706666666665
110,BAILEYS CREAM 750ML,12,376685.395,31390.45,0.75,LT,41853.933333333334
111,JOHNNIE WALKER RED LABEL 1LTS,12,495119.469,41259.956,,,
112,JOHNNIE WALKER BLACK LABEL 1LTS,12,834467.412,69538.951,,,
113,SMIRNOFF 21 700ML,12,109673.968,9139.497,0.7,LT,13056.424285714285
120,OLIOVITA APRILE BT 500ML,4,173901.457,43475.364,0.5,LT,86950.728
123,MARTINI ROSSO 995ML,12,86189.456,7182.455,0.995,LT,7218.547738693467
124,MARTINI BIANCO 995ML,12,82718.652,6893.221,0.995,LT,6927.860301507537
130,AMARGO OBRERO 950ML,12,56984.543,4748.712,0.95,LT,4998.644210526317
131,JOHNNIE WALKER DOUBLE BLACK LABEL 750ML,6,418648.664,69774.777,0.75,LT,93033.03600000001
134,JOHNNIE WALKER GREEN LABEL 750ML,6,1293209.261,215534.877,0.75,LT,287379.836
136,JOHNNIE WALKER SWING 750ML,12,1722959.357,143579.946,0.75,LT,191439.92799999999
138,VELHO BARREIRO 910ML,12,105600.0,8800.0,0.91,LT,9670.32967032967
142,TANQUERAY 700ML,6,196120.293,32686.716,0.7,LT,46695.30857142858
143,ARYTZA MOSTAZA DIJON 850GR,6,58625.774,9770.962,0.85,KG,11495.249411764706
144,ARYTZA MOSTAZA A LA ANTIGUA 850GR,6,57283.2,9547.2,0.85,KG,11232.000000000002
145,ARYTZA MOSTAZA A LA ANTIGUA (BALDE) 4.5KG,1,39531.375,39531.375,4.5,KG,8784.75
146,ARYTZA MOSTAZA A LA MIEL (BALDE) 4.5KG,1,39531.375,39531.375,4.5,KG,8784.75
147,MISTRAL 750ML,6,99808.591,16634.765,0.75,LT,22179.686666666665
149,ABSOLUT BLUE VODKA 700ML,12,247676.78,20639.732,0.7,LT,29485.33142857143
150,AMARULA 750ML,12,487050.489,40587.541,0.75,LT,54116.72133333333
151,MARTINI EXTRA DRY 995ML,12,120295.314,10024.61,0.995,LT,10074.984924623117
161,JOHNNIE WALKER BLUE LABEL 750ML,6,2792916.467,465486.078,0.75,LT,620648.1039999999
166,FERNET BRANCA 1LTS,6,119307.839,19884.64,,,
211,BIALCOHOL EXTRA NEUTRO 1LTS,6,38270.948,6378.491,,,
222,BIALCOHOL 96% 500ML,12,26970.89,2247.574,0.5,LT,4495.148
237,PIMM'S BITTER 750ML,12,119947.149,9995.596,0.75,LT,13327.461333333333
241,ARYTZA MOSTAZA ALEMANA (BALDE) 4.5KG,1,37219.162,37219.162,4.5,KG,8270.924888888889
249,PUNT E MES 750ML,6,45348.41,7558.068,0.75,LT,10077.424
252,ANGOSTURA BITTER 200ML,12,421552.902,35129.408,0.2,LT,175647.04
253,CHIVAS REGAL 12YO 700ML,6,309009.28,51501.547,0.7,LT,73573.63857142857
257,HAVANA CLUB 3 AÑOS 750ML,12,171403.242,14283.604,0.75,LT,19044.805333333334
258,MALIBU 750ML,12,174069.833,14505.819,0.75,LT,19341.092
261,ZACAPA CENTENARIO 23YO 750ML,6,772185.464,128697.577,0.75,LT,171596.76933333333
264,TRES PLUMAS TRIPLE SEC 700ML,6,34404.236,5734.039,0.7,LT,8191.484285714286
267,ABSOLUT ELYX 1LTS,6,426216.877,71036.146,,,
268,BEEFEATER 1LTS,6,161089.022,26848.17,,,
269,BEEFEATER 24 700ML,6,256468.012,42744.669,0.7,LT,61063.81285714286
270,CHIVAS REGAL EXTRA 13YO 700ML,6,386248.287,64374.714,0.7,LT,91963.87714285715
271,JAMESON 1LTS,12,527132.802,43927.734,,,
273,TIA MARIA 690ML,6,48350.196,8058.366,0.69,LT,11678.791304347827
274,WYBOROWA 700ML,12,73252.05,6104.337,0.7,LT,8720.48142857143
293,JOHNNIE WALKER 18YO 750ML,6,1431535.916,238589.319,0.75,LT,318119.092
296,HAVANA CLUB AÑEJO ESPECIAL 750ML,12,182985.072,15248.756,0.75,LT,20331.674666666666
299,OLD PARR 12YO 750ML,12,633578.107,52798.176,0.75,LT,70397.568
304,GORDONS 700ML,6,83066.269,13844.378,0.7,LT,19777.68285714286
305,TRES PLUMAS AMARETTO 700ML,6,32170.997,5361.833,0.7,LT,7659.761428571429
306,CUSENIER GRANADINA 750ML,12,53231.518,4435.96,0.75,LT,5914.613333333334
309,CHIVAS REGAL ROYAL SALUTE 21YO 700ML,6,1736971.308,289495.218,0.7,LT,413564.59714285715
310,ARYTZA MOSTAZA DIJON (BALDE) 4.5KG,1,39829.725,39829.725,4.5,KG,8851.05
311,ARYTZA MOSTAZA CLASICA (BALDE) 4.5KG,1,37219.162,37219.162,4.5,KG,8270.924888888889
317,TIA MARIA CREAMY 690ML,6,68195.417,11365.903,0.69,LT,16472.3231884058
319,HAVANA CLUB 7 AÑOS 700ML,12,392441.496,32703.458,0.7,LT,46719.22571428571
321,APEROL SPRITZ 750ML,6,56121.049,9353.508,0.75,LT,12471.344
323,CYNAR 750ML,6,49439.049,8239.841,0.75,LT,10986.454666666667
329,HENDRICKS 700ML,6,332942.954,55490.492,0.7,LT,79272.13142857143
331,MONKEY 47 DRY GIN 500ML,6,390673.802,65112.3,0.5,LT,130224.6
335,JAMESON BLACK BARREL 700ML,6,329367.654,54894.609,0.7,LT,78420.87
336,CHIVAS REGAL 12YO 1LTS,12,804977.81,67081.484,,,
340,COINTREAU 700ML,6,295257.601,49209.6,0.7,LT,70299.42857142858
342,MARE GIN 700ML,6,248855.535,41475.922,0.7,LT,59251.317142857144
354,BEEFEATER 700ML,12,271213.917,22601.16,0.7,LT,32287.37142857143
355,LUXARDO AMARETTO DI SASCHIRA 750ML,6,436346.721,72724.454,0.75,LT,96965.93866666667
356,ABSENTA VAN GOGH 750ML,6,538205.838,89700.973,0.75,LT,119601.29733333334
358,THE GLENLIVET FOUNDERS RESERVE 700ML,12,723322.015,60276.835,0.7,LT,86109.7642857143
359,THE GLENLIVET 15YO 700ML,6,709227.112,118204.519,0.7,LT,168863.5985714286
360,ABERLOUR 12YO 700ML,3,237362.374,79120.791,0.7,LT,113029.70142857142
361,SCAPA SKIREN 700ML,6,600554.101,100092.35,0.7,LT,142989.07142857145
362,DISARONNO AMARETTO 700ML,12,404659.2,33721.6,0.7,LT,48173.71428571429
383,LA ORDEN DEL LIBERTADOR 10YO 750ML,6,203599.44,33933.24,0.75,LT,45244.32
386,CASALTA ALCOHOL PET 1LTS,12,13468.367,1122.364,,,
389,ARYTZA PIMENTON AHUMADO 95GR,12,61221.42,5101.785,0.095,KG,53703.0
394,SLITZ KIRSCHWASSER 1LTS,8,56688.129,7086.016,,,
405,CYNAR 70 750ML,6,56120.894,9353.482,0.75,LT,12471.309333333333
424,HIERROQUINA 1LTS,6,44937.714,7489.619,,,
425,HESPERIDINA 1LTS,6,74768.152,12461.359,,,
431,CLYNELISH 14YO 750ML,6,1034131.946,172355.324,0.75,LT,229807.09866666666
433,LONGMORN DISTILLERS CHOICE 700ML,6,1071044.493,178507.415,0.7,LT,255010.59285714288
441,BORGHETTI LICOR DE CAFE 700ML,6,96366.514,16061.086,0.7,LT,22944.408571428572
442,LUXARDO MARRASCHINO 750ML,6,635671.053,105945.176,0.75,LT,141260.23466666669
444,LUXARDO LIMONCELLO 750ML,6,436346.721,72724.454,0.75,LT,96965.93866666667
452,FAVINCO ESPESO AHUMADO PET 250ML,15,38818.81,2587.921,0.25,LT,10351.684
453,FAVINCO ESPESO AHUMADO PET 500ML,15,59452.92,3963.528,0.5,LT,7927.056
459,CALAVERA 750ML,6,167010.02,27835.003,0.75,LT,37113.33733333334
461,BUCHANANS DELUXE 750ML,12,821836.848,68486.404,0.75,LT,91315.20533333333
464,BIOFRUT JUGO NARANJA 1LTS,12,18344.074,1528.673,,,
484,MAKERS MARK 750ML,12,909403.026,75783.586,0.75,LT,101044.78133333333
485,JIM BEAM WHITE LABEL 750ML,12,457814.642,38151.22,0.75,LT,50868.293333333335
487,CRAGGANMORE 750ML,6,976724.007,162787.334,0.75,LT,217049.77866666668
488,SMIRNOFF RASPBERRY 700ML,6,60312.25,10052.042,0.7,LT,14360.06
493,BEEFEATER PINK 700ML,6,161201.725,26866.954,0.7,LT,38381.36285714286
502,LUXARDO EUGANEA 750ML,6,392171.033,65361.839,0.75,LT,87149.11866666666
503,LUXARDO DE CESARI SAMBUCA C/ESTUCHE 750ML,6,370932.316,61822.053,0.75,LT,82429.404
504,EVAN WILLIAMS BLACK BOURBON 750ML,12,606272.199,50522.683,0.75,LT,67363.57733333333
507,JAMAICA GOLD 1LTS,8,70155.18,8769.398,,,
508,GREY GOOSE MINIATURA 50ML,6,77142.858,12857.143,0.05,LT,257142.86
509,CHIVAS REGAL MIZUNARA 700ML,12,1075274.418,89606.202,0.7,LT,128008.86000000002
518,DRAMBUIE 750ML,12,602000.421,50166.702,0.75,LT,66888.936
519,THE BOTANIST ISLAY 700ML,6,528000.0,88000.0,0.7,LT,125714.28571428572
523,JOHNNIE WALKER GOLD RESERVE 750ML,6,694328.603,115721.434,0.75,LT,154295.24533333333
524,DIPLOMATICO MANTUANO 700ML,6,359377.944,59896.324,0.7,LT,85566.17714285715
558,BENCHMARK N8 750ML,12,311731.2,25977.6,0.75,LT,34636.799999999996
560,LILLET BLANC 750ML,6,104843.545,17473.924,0.75,LT,23298.565333333332
566,GIOVANNONI VERMOUTH ROSSO 750ML,6,89082.026,14847.004,0.75,LT,19796.005333333334
569,CASALTA ESTACIONADO ROBLE BT 400ML,6,40373.23,6728.872,0.4,LT,16822.18
573,GIOVANNONI VERMOUTH DRY 750ML,6,89082.026,14847.004,0.75,LT,19796.005333333334
577,HAVANA CLUB SELECCION DE MAESTROS 700ML,6,716357.378,119392.896,0.7,LT,170561.28
578,SHERIDANS 750ML,6,290335.975,48389.329,0.75,LT,64519.10533333333
579,GOLDEN AGE CHERRY 750ML,6,149002.815,24833.802,0.75,LT,33111.736
580,GOLDEN AGE APRICOT 750ML,6,149002.815,24833.802,0.75,LT,33111.736
581,BEZIERS LICOR DE CASSIS 750ML,6,142069.21,23678.202,0.75,LT,31570.936
583,CAOL ILA 12YO 750ML,6,976683.526,162780.588,0.75,LT,217040.78399999999
585,OLIOVITA MEDITERRANEO PET 250ML,12,68150.498,5679.208,0.25,LT,22716.832
586,OLIOVITA MEDITERRANEO BT 500ML,12,133699.48,11141.623,0.5,LT,22283.246
588,GOLDEN AGE MARASCHINO 750ML,6,149002.815,24833.802,0.75,LT,33111.736
589,YZAGUIRRE VERMOUTH ROSSO 1LTS,6,238080.003,39680.0,,,
590,YZAGUIRRE VERMOUTH RESERVA 1LTS,6,345600.006,57600.001,,,
591,YZAGUIRRE VERMOUTH WHITE 1LTS,6,238080.003,39680.0,,,
593,GRANTS TRIPLE WOOD 750ML,12,347667.525,28972.294,0.75,LT,38629.725333333336
595,GLENFIDDICH 12YO 750ML,12,1455075.297,121256.275,0.75,LT,161675.03333333333
596,MONKEY SHOULDER 700ML,6,320819.073,53469.846,0.7,LT,76385.49428571429
599,JIM BEAM BLACK LABEL 750ML,12,770265.538,64188.795,0.75,LT,85585.06
600,JIM BEAM HONEY 750ML,12,408768.537,34064.045,0.75,LT,45418.72666666666
601,ANCHO REYES 750ML,6,341392.715,56898.786,0.75,LT,75865.048
607,CAMPARI 750ML,12,112245.032,9353.753,0.75,LT,12471.670666666667
615,MAKERS MARK 375ML,12,608976.233,50748.019,0.375,LT,135328.05066666668
616,OLIOVITA CLASICO PET 1LTS,12,227112.344,18926.029,,,
617,PRINCIPE DE LOS APOSTOLES FUERZA GAUCHA 750ML,6,97170.84,16195.14,0.75,LT,21593.52
620,ARYTZA MAYONESA CLASICA 340GR,12,57283.2,4773.6,0.34,KG,14040.0
621,ARYTZA MAYONESA AHUMADA 340GR,12,62653.5,5221.125,0.34,KG,15356.249999999998
622,FERNET BRANCA MENTA 750ML,6,88436.933,14739.489,0.75,LT,19652.652
623,CARPANO ROSSO 950ML,6,44365.32,7394.22,0.95,LT,7783.389473684211
624,CARPANO BIANCO 950ML,6,44365.32,7394.22,0.95,LT,7783.389473684211
626,ARYTZA MAYONESA CLASICA (BALDE) 2.9KG,1,31028.399,31028.399,2.9,KG,10699.447931034483
627,ARYTZA MAYONESA AHUMADA (BALDE) 2.9KG,1,34757.775,34757.775,2.9,KG,11985.439655172415
634,BALLANTINES 1LTS,12,438025.911,36502.159,,,
636,SERNOVA VODKA 700ML,12,88501.186,7375.099,0.7,LT,10535.855714285715
643,GRANTS ALE CASK 750ML,12,341456.555,28454.713,0.75,LT,37939.617333333335
644,VECCHIO AMARO DEL CAPO 700ML,8,316717.7,39589.712,0.7,LT,56556.73142857143
668,MONTECITOS MIEL CREMOSA 500GR,12,62653.5,5221.125,0.5,KG,10442.25
677,LIQUORE STREGA 700ML,6,152521.518,25420.253,0.7,LT,36314.647142857146
685,SANTA TERESA CLARO 750ML,6,179520.0,29920.0,0.75,LT,39893.333333333336
686,SANTA TERESA GRAN RESERVA 750ML,6,190080.0,31680.0,0.75,LT,42240.0
697,JIM BEAM VAINILLA 750ML,12,408768.537,34064.045,0.75,LT,45418.72666666666
698,CHIVAS REGAL ULTIS 700ML,3,1066689.86,355563.287,0.7,LT,507947.55285714293
700,SKYY VODKA 700ML,12,89845.173,7487.098,0.7,LT,10695.854285714286
701,BULLDOG 700ML,6,126579.266,21096.544,0.7,LT,30137.920000000006
702,JOSE CUERVO TEQUILA SILVER 750ML,12,467560.529,38963.377,0.75,LT,51951.16933333333
703,RESERVA SAN JUAN COGNAC 750ML,6,48262.364,8043.727,0.75,LT,10724.969333333333
709,JOHNNIE WALKER XR 21YO 750ML,6,2245137.079,374189.513,0.75,LT,498919.35066666664
710,PRINCIPE DE LOS APOSTOLES ROSA MOSQUETA 750ML,6,80306.478,13384.413,0.75,LT,17845.884000000002
712,VODKA PAN DE TRIGO 750ML,6,87681.69,14613.615,0.75,LT,19484.82
714,THE GLENLIVET 12YO 700ML,6,429252.843,71542.141,0.7,LT,102203.05857142858
720,HEINEKEN LATA 473ML,24,68114.186,2838.091,0.473,LT,6000.192389006343
722,MILLER LATA 473ML,24,54884.457,2286.852,0.473,LT,4834.782241014799
723,IMPERIAL LATA 473ML,24,45416.164,1892.34,0.473,LT,4000.7188160676533
724,GROLSCH LATA 473ML,24,56809.329,2367.055,0.473,LT,5004.344608879493
760,ARYTZA MAYONESA CON AJO 340GR,12,60863.399,5071.95,0.34,KG,14917.499999999998
766,BIALCOHOL 96% 250ML,15,20628.73,1375.249,0.25,LT,5500.996
773,THE GLENLIVET 18YO 700ML,6,888556.503,148092.75,0.7,LT,211561.07142857145
774,TWININGS EARL GREY X10 UNI,12,59297.141,4941.428,,,
775,TWININGS ENGLISH BREAKFAST X10 UNI,12,59297.141,4941.428,,,
776,TWININGS MENTA PURA X10 UNI,12,48021.656,4001.805,,,
777,TWININGS TE VERDE X10 UNI,12,59297.141,4941.428,,,
778,TWININGS FRUTOS ROJOS X10 UNI,12,59297.141,4941.428,,,
780,BARILLA PENNE RIGATE (PASTA) 500GR,12,60541.012,5045.084,0.5,KG,10090.168
799,SALSA TABASCO ROJO 60ML,24,196556.115,8189.838,0.06,LT,136497.3
804,GOD BLESS YOU NEUTRO 225ML,12,67138.47,5594.873,0.225,LT,24866.10222222222
805,GOD BLESS YOU VIRGEN 225ML,12,109561.41,9130.118,0.225,LT,40578.30222222222
807,GOD BLESS YOU NEUTRO 500ML,12,113898.96,9491.58,0.5,LT,18983.16
808,GOD BLESS YOU VIRGEN 500ML,12,209086.921,17423.91,0.5,LT,34847.82
809,CASA ROSA GIN LUPULO 500ML,12,96849.317,8070.776,0.5,LT,16141.552
813,TWININGS MANZANILLA PURA X10 UNI,12,48021.656,4001.805,,,
814,SALSA DE SOJA LEE KUM KEE 500ML,12,102945.901,8578.825,0.5,LT,17157.65
815,GOD BLESS YOU AZUCAR 250GR,24,181326.601,7555.275,0.25,KG,30221.1
828,BIALCOHOL 70% 500ML,12,22604.887,1883.741,0.5,LT,3767.482
829,IMPERIAL IPA LATA 473ML,24,51068.584,2127.858,0.473,LT,4498.642706131079
834,TWININGS LADY GREY X10 UNI,12,59297.141,4941.428,,,
841,TWININGS FRESA FRUTILLA MANGO X10 UNI,12,48021.656,4001.805,,,
842,SALSA TABASCO VERDE 60ML,12,89343.721,7445.31,0.06,LT,124088.50000000001
852,CHIVAS REGAL XV GOLD C/ESTUCHE 700ML,6,508406.07,84734.345,0.7,LT,121049.0642857143
858,JOHNNIE WALKER BLACK LATA 750ML,6,403287.337,67214.556,0.75,LT,89619.408
864,BARILLA SPAGHETTI (PASTA) 500GR,24,121082.025,5045.084,0.5,KG,10090.168
871,CABRALES NES CAFE BRASIL X10UNI,12,70190.292,5849.191,,,
880,PH ALCOHOL DE QUEMAR 1LTS,12,37088.753,3090.729,,,
912,FIREBALL 750ML,12,241612.8,20134.4,0.75,LT,26845.86666666667
916,MONTECITOS MIEL ORGANICA 500GR,12,84134.7,7011.225,0.5,KG,14022.45
934,NORDES 700ML,6,573111.7,95518.617,0.7,LT,136455.16714285716
935,FLOR DE CAÑA EXTRA SECO 4 AÑOS 750ML,12,268667.197,22388.933,0.75,LT,29851.910666666667
936,FLOR DE CAÑA AÑEJO ORO 4 AÑOS 750ML,12,276632.703,23052.725,0.75,LT,30736.966666666664
937,GOD BLESS YOU NEUTRO 1LTS,12,203830.831,16985.903,,,
938,BARILLA TORTIGLIONI 500GR,12,60541.012,5045.084,0.5,KG,10090.168
944,SALSA TABASCO ROJO 150ML,12,220501.153,18375.096,0.15,LT,122500.64000000001
947,IMPERIAL GOLDEN LATA 473ML,24,47300.299,1970.846,0.473,LT,4166.693446088795
948,IMPERIAL ROJA LATA 473ML,24,51068.584,2127.858,0.473,LT,4498.642706131079
949,IMPERIAL CREAM STOUT LATA 473ML,24,51068.584,2127.858,0.473,LT,4498.642706131079
954,BIALCOHOL 96% 1LTS,12,47364.136,3947.011,,,
956,IMPERIAL APA LATA 473ML,24,51068.584,2127.858,0.473,LT,4498.642706131079
958,SALSA TABASCO CHIPOTLE 60ML,12,98278.057,8189.838,0.06,LT,136497.3
980,ARYTZA SALVADO DE MOSTAZA 2KG,1,8502.975,8502.975,2.0,KG,4251.4875
981,SALSA TERIYAKI LEE KUM KEE 250GR,12,121533.831,10127.819,0.25,KG,40511.276
